nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  10/20/2024 10:42:04 PM 141.143.213.39 GET /
 HTTP  10/20/2024 10:42:04 PM 141.143.213.39 Returned 200 in 64 ms
 HTTP  10/20/2024 10:42:04 PM 141.143.213.39 GET /static/js/main.e06b4773.js
 HTTP  10/20/2024 10:42:04 PM 141.143.213.39 Returned 200 in 4 ms
 HTTP  10/20/2024 10:42:05 PM 141.143.213.39 GET /static/css/main.7ca622de.css
 HTTP  10/20/2024 10:42:05 PM 141.143.213.39 Returned 200 in 3 ms
 HTTP  10/20/2024 10:42:05 PM 141.143.213.39 GET /static/media/background.dfa6f0fedc47e05094c2.png
 HTTP  10/20/2024 10:42:05 PM 141.143.213.39 Returned 200 in 4 ms
 HTTP  10/20/2024 10:42:06 PM 141.143.213.39 GET /favicon.ico
 HTTP  10/20/2024 10:42:06 PM 141.143.213.39 Returned 200 in 2 ms
 HTTP  10/20/2024 10:42:08 PM 141.143.213.39 GET /favicon.ico
 HTTP  10/20/2024 10:42:08 PM 141.143.213.39 Returned 304 in 1 ms
